ref	ball_pos	gear_angle	motor_voltage	zero
0.045	29.741	-0.145	-0.906	0.000
0.049	29.773	-0.144	-0.912	0.000
0.053	29.783	-0.139	-0.911	0.000
0.057	29.793	-0.136	-0.914	0.000
0.061	29.793	-0.135	-0.920	0.000
0.065	29.804	-0.135	-0.929	0.000
0.070	29.793	-0.133	-0.937	0.000
0.074	29.783	-0.130	-0.940	0.000
0.078	29.804	-0.127	-0.942	0.000
0.082	29.814	-0.124	-0.945	0.000
0.086	29.793	-0.123	-0.951	0.000
0.090	29.804	-0.123	-0.960	0.000
0.094	29.814	-0.120	-0.962	0.000
0.098	29.835	-0.118	-0.968	0.000
0.102	29.824	-0.115	-0.971	0.000
0.106	29.835	-0.111	-0.970	0.000
0.110	29.856	-0.111	-0.979	0.000
0.114	29.845	-0.107	-0.978	0.000
0.118	29.866	-0.104	-0.981	0.000
0.122	29.856	-0.104	-0.990	0.000
0.126	29.856	-0.101	-0.992	0.000
0.129	29.866	-0.096	-0.989	0.000
0.133	29.876	-0.095	-0.995	0.000
0.137	29.887	-0.092	-0.997	0.000
0.141	29.876	-0.089	-1.000	0.000
0.145	29.897	-0.086	-1.002	0.000
0.148	29.876	-0.084	-1.006	0.000
0.152	29.897	-0.083	-1.012	0.000
0.156	29.918	-0.077	-1.007	0.000
0.159	29.928	-0.077	-1.014	0.000
0.163	29.949	-0.074	-1.017	0.000
0.166	29.970	-0.073	-1.020	0.000
0.170	30.001	-0.070	-1.023	0.000
0.173	30.001	-0.065	-1.020	0.000
0.177	30.001	-0.067	-1.032	0.000
0.180	30.011	-0.059	-1.022	0.000
0.183	30.032	-0.056	-1.022	0.000
0.187	30.053	-0.053	-1.025	0.000
0.190	30.053	-0.052	-1.028	0.000
0.193	30.053	-0.050	-1.032	0.000
0.197	30.053	-0.049	-1.038	0.000
0.200	30.063	-0.046	-1.038	0.000
0.203	30.073	-0.042	-1.034	0.000
0.206	30.063	-0.039	-1.035	0.000
0.209	30.084	-0.034	-1.031	0.000
0.212	30.084	-0.033	-1.035	0.000
0.215	30.084	-0.030	-1.035	0.000
0.218	30.094	-0.028	-1.038	0.000
0.221	30.105	-0.025	-1.039	0.000
0.224	30.105	-0.021	-1.035	0.000
0.227	30.105	-0.018	-1.035	0.000
0.229	30.115	-0.015	-1.033	0.000
0.232	30.105	-0.012	-1.033	0.000
0.235	30.115	-0.008	-1.030	0.000
0.237	30.125	-0.006	-1.031	0.000
0.240	30.125	-0.003	-1.031	0.000
0.242	30.146	-0.002	-1.032	0.000
0.245	30.167	0.003	-1.029	0.000
0.247	30.177	0.006	-1.027	0.000
0.250	30.177	0.009	-1.027	0.000
0.252	30.198	0.012	-1.025	0.000
0.254	30.188	0.016	-1.019	0.000
0.257	30.198	0.018	-1.022	0.000
0.259	30.198	0.022	-1.017	0.000
0.261	30.229	0.025	-1.014	0.000
0.263	30.208	0.028	-1.012	0.000
0.265	30.219	0.029	-1.013	0.000
0.267	30.229	0.034	-1.008	0.000
0.269	30.239	0.035	-1.009	0.000
0.271	30.250	0.040	-1.003	0.000
0.272	30.239	0.041	-1.002	0.000
0.274	30.250	0.046	-0.996	0.000
0.276	30.271	0.047	-0.998	0.000
0.278	30.260	0.053	-0.988	0.000
0.279	30.291	0.055	-0.987	0.000
0.281	30.291	0.058	-0.985	0.000
0.282	30.291	0.062	-0.977	0.000
0.284	30.281	0.065	-0.975	0.000
0.285	30.302	0.066	-0.974	0.000
0.286	30.312	0.068	-0.972	0.000
0.287	30.302	0.071	-0.968	0.000
0.289	30.312	0.074	-0.966	0.000
0.290	30.322	0.077	-0.961	0.000
0.291	30.322	0.080	-0.956	0.000
0.292	30.343	0.083	-0.952	0.000
0.293	30.354	0.086	-0.947	0.000
0.294	30.364	0.087	-0.946	0.000
0.295	30.364	0.090	-0.941	0.000
0.295	30.374	0.093	-0.934	0.000
0.296	30.374	0.095	-0.933	0.000
0.297	30.364	0.099	-0.925	0.000
0.297	30.374	0.102	-0.918	0.000
0.298	30.364	0.105	-0.914	0.000
0.298	30.374	0.106	-0.910	0.000
0.299	30.385	0.112	-0.899	0.000
0.299	30.374	0.112	-0.899	0.000
0.299	30.395	0.115	-0.892	0.000
0.300	30.385	0.118	-0.887	0.000
0.300	30.395	0.121	-0.880	0.000
0.300	30.416	0.124	-0.873	0.000
0.300	30.437	0.126	-0.870	0.000
0.300	30.426	0.127	-0.866	0.000
0.300	30.437	0.130	-0.859	0.000
0.300	30.437	0.133	-0.852	0.000
0.300	30.457	0.134	-0.849	0.000
0.299	30.447	0.137	-0.840	0.000
0.299	30.457	0.139	-0.836	0.000
0.299	30.447	0.143	-0.826	0.000
0.298	30.457	0.145	-0.820	0.000
0.298	30.457	0.148	-0.813	0.000
0.297	30.457	0.151	-0.804	0.000
0.297	30.468	0.151	-0.804	0.000
0.296	30.499	0.154	-0.794	0.000
0.295	30.509	0.155	-0.789	0.000
0.295	30.509	0.155	-0.789	0.000
0.294	30.530	0.160	-0.776	0.000
0.293	30.530	0.161	-0.770	0.000
0.292	30.530	0.165	-0.757	0.000
0.291	30.530	0.165	-0.755	0.000
0.290	30.530	0.167	-0.749	0.000
0.289	30.551	0.171	-0.736	0.000
0.288	30.551	0.171	-0.734	0.000
0.286	30.551	0.171	-0.729	0.000
0.285	30.551	0.174	-0.720	0.000
0.284	30.551	0.177	-0.711	0.000
0.282	30.551	0.180	-0.699	0.000
0.281	30.561	0.180	-0.697	0.000
0.279	30.571	0.180	-0.692	0.000
0.278	30.582	0.183	-0.683	0.000
0.276	30.571	0.186	-0.671	0.000
0.274	30.582	0.188	-0.663	0.000
0.273	30.582	0.188	-0.661	0.000
0.271	30.582	0.189	-0.652	0.000
0.269	30.582	0.191	-0.644	0.000
0.267	30.582	0.192	-0.636	0.000
0.265	30.582	0.195	-0.624	0.000
0.263	30.571	0.197	-0.616	0.000
0.261	30.582	0.197	-0.611	0.000
0.259	30.592	0.198	-0.603	0.000
0.257	30.592	0.199	-0.595	0.000
0.255	30.603	0.201	-0.587	0.000
0.252	30.592	0.202	-0.576	0.000
0.250	30.603	0.204	-0.568	0.000
0.248	30.603	0.204	-0.564	0.000
0.245	30.623	0.207	-0.550	0.000
0.243	30.634	0.207	-0.545	0.000
0.240	30.634	0.207	-0.538	0.000
0.238	30.634	0.210	-0.526	0.000
0.235	30.654	0.208	-0.523	0.000
0.232	30.634	0.213	-0.505	0.000
0.230	30.644	0.213	-0.500	0.000
0.227	30.665	0.213	-0.493	0.000
0.224	30.644	0.213	-0.486	0.000
0.221	30.654	0.214	-0.476	0.000
0.218	30.665	0.216	-0.465	0.000
0.215	30.654	0.216	-0.088	0.000
0.212	30.654	0.216	-0.081	0.000
0.209	30.665	0.216	-0.074	0.000
0.206	30.675	0.219	-0.060	0.000
0.203	30.675	0.216	-0.060	0.000
0.200	30.675	0.217	-0.050	0.000
0.197	30.686	0.214	-0.049	0.000
0.194	30.675	0.216	-0.039	0.000
0.191	30.686	0.214	-0.035	0.000
0.187	30.696	0.214	-0.026	0.000
0.184	30.696	0.214	-0.019	0.000
0.181	30.696	0.214	-0.012	0.000
0.177	30.696	0.214	-0.002	0.000
0.174	30.696	0.213	0.001	0.000
0.170	30.686	0.214	0.014	0.000
0.167	30.706	0.213	0.018	0.000
0.163	30.696	0.211	0.023	0.000
0.160	30.696	0.211	0.031	0.000
0.156	30.696	0.210	0.036	0.000
0.152	30.696	0.210	0.046	0.000
0.149	30.706	0.208	0.049	0.000
0.145	30.696	0.208	0.059	0.000
0.141	30.706	0.207	0.065	0.000
0.137	30.706	0.205	0.071	0.000
0.134	30.706	0.205	0.078	0.000
0.130	30.727	0.202	0.080	0.000
0.126	30.706	0.201	0.086	0.000
0.122	30.706	0.202	0.099	0.000
0.118	30.706	0.201	0.105	0.000
0.114	30.706	0.201	0.114	0.000
0.110	30.706	0.198	0.117	0.000
0.106	30.717	0.198	0.126	0.000
0.103	30.727	0.197	0.130	0.000
0.099	30.696	0.197	0.139	0.000
0.094	30.706	0.192	0.140	0.000
0.090	30.696	0.194	0.153	0.000
0.086	30.696	0.191	0.156	0.000
0.082	30.706	0.192	0.169	0.000
0.078	30.706	0.189	0.171	0.000
0.074	30.686	0.188	0.177	0.000
0.070	30.706	0.186	0.183	0.000
