ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.341	0.670	-0.177	0.000
0.700	4.341	0.670	-0.177	0.000
0.700	4.338	0.673	-0.170	0.000
0.700	4.343	0.673	-0.170	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.673	-0.170	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.673	-0.170	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.673	-0.170	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.676	-0.164	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.676	-0.164	0.000
0.700	4.338	0.674	-0.167	0.000
0.700	4.338	0.674	-0.167	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.674	-0.167	0.000
0.700	4.341	0.676	-0.164	0.000
0.700	4.341	0.676	-0.164	0.000
0.700	4.341	0.676	-0.164	0.000
0.700	4.341	0.677	-0.160	0.000
0.700	4.341	0.677	-0.160	0.000
0.700	4.338	0.677	-0.160	0.000
0.700	4.341	0.677	-0.160	0.000
0.700	4.336	0.678	-0.157	0.000
0.700	4.338	0.677	-0.160	0.000
0.700	4.341	0.680	-0.153	0.000
0.700	4.341	0.680	-0.153	0.000
0.700	4.341	0.680	-0.153	0.000
0.700	4.338	0.680	-0.153	0.000
0.700	4.338	0.678	-0.157	0.000
0.700	4.338	0.678	-0.157	0.000
0.700	4.341	0.680	-0.153	0.000
0.700	4.341	0.681	-0.150	0.000
0.700	4.338	0.680	-0.153	0.000
0.700	4.338	0.680	-0.153	0.000
0.700	4.336	0.680	-0.153	0.000
0.700	4.338	0.680	-0.153	0.000
0.700	4.338	0.681	-0.150	0.000
0.700	4.336	0.680	-0.153	0.000
0.700	4.336	0.680	-0.153	0.000
0.700	4.338	0.680	-0.153	0.000
0.700	4.336	0.680	-0.153	0.000
0.700	4.336	0.681	-0.150	0.000
0.700	4.341	0.681	-0.150	0.000
0.700	4.338	0.681	-0.150	0.000
0.700	4.336	0.683	-0.146	0.000
0.700	4.336	0.683	-0.146	0.000
0.700	4.341	0.683	-0.146	0.000
0.700	4.336	0.683	-0.146	0.000
0.700	4.336	0.683	-0.146	0.000
0.700	4.338	0.684	-0.143	0.000
0.700	4.336	0.681	-0.150	0.000
0.700	4.336	0.683	-0.146	0.000
0.700	4.336	0.684	-0.143	0.000
0.700	4.338	0.684	-0.143	0.000
0.700	4.333	0.686	-0.139	0.000
0.700	4.336	0.684	-0.143	0.000
0.700	4.338	0.683	-0.146	0.000
0.700	4.341	0.684	-0.143	0.000
0.700	4.338	0.686	-0.139	0.000
0.700	4.336	0.684	-0.143	0.000
0.700	4.338	0.683	-0.146	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.338	0.684	-0.143	0.000
0.700	4.336	0.684	-0.143	0.000
0.700	4.336	0.687	-0.136	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.341	0.686	-0.139	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.333	0.686	-0.139	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.687	-0.136	0.000
0.700	4.338	0.687	-0.136	0.000
0.700	4.341	0.687	-0.136	0.000
0.700	4.338	0.686	-0.139	0.000
0.700	4.336	0.687	-0.136	0.000
0.700	4.336	0.687	-0.136	0.000
0.700	4.331	0.687	-0.136	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.336	0.687	-0.136	0.000
0.700	4.331	0.686	-0.139	0.000
0.700	4.336	0.686	-0.139	0.000
0.700	4.331	0.686	-0.139	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.690	-0.129	0.000
0.700	4.333	0.689	-0.132	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.689	-0.132	0.000
0.700	4.336	0.690	-0.129	0.000
