ref	ball_pos	gear_angle	motor_voltage	zero
0.700	-0.317	0.678	-0.511	0.000
0.700	-0.322	0.680	-0.507	0.000
0.700	-0.332	0.680	-0.507	0.000
0.700	-0.339	0.681	-0.504	0.000
0.700	-0.342	0.684	-0.497	0.000
0.700	-0.344	0.681	-0.504	0.000
0.700	-0.349	0.684	-0.497	0.000
0.700	-0.361	0.686	-0.493	0.000
0.700	-0.374	0.686	-0.493	0.000
0.700	-0.381	0.684	-0.497	0.000
0.700	-0.383	0.687	-0.490	0.000
0.700	-0.388	0.687	-0.490	0.000
0.700	-0.400	0.690	-0.483	0.000
0.700	-0.415	0.690	-0.483	0.000
0.700	-0.420	0.692	-0.479	0.000
0.700	-0.427	0.690	-0.483	0.000
0.700	-0.425	0.692	-0.479	0.000
0.700	-0.427	0.695	-0.472	0.000
0.700	-0.430	0.692	-0.479	0.000
0.700	-0.435	0.692	-0.479	0.000
0.700	-0.435	0.696	-0.469	0.000
0.700	-0.442	0.696	-0.469	0.000
0.700	-0.449	0.698	-0.465	0.000
0.700	-0.459	0.698	-0.465	0.000
0.700	-0.466	0.696	-0.469	0.000
0.700	-0.464	0.699	-0.462	0.000
0.700	-0.469	0.701	-0.088	0.000
0.700	-0.469	0.702	-0.085	0.000
0.700	-0.471	0.701	-0.088	0.000
0.700	-0.474	0.702	-0.085	0.000
0.700	-0.479	0.704	-0.082	0.000
0.700	-0.479	0.702	-0.085	0.000
0.700	-0.498	0.702	-0.085	0.000
0.700	-0.503	0.701	-0.088	0.000
0.700	-0.508	0.702	-0.085	0.000
0.700	-0.503	0.702	-0.085	0.000
0.700	-0.505	0.704	-0.082	0.000
0.700	-0.508	0.704	-0.082	0.000
0.700	-0.515	0.701	-0.088	0.000
0.700	-0.515	0.701	-0.088	0.000
0.700	-0.527	0.701	-0.088	0.000
0.700	-0.527	0.699	-0.462	0.000
0.700	-0.537	0.698	-0.465	0.000
0.700	-0.542	0.701	-0.088	0.000
0.700	-0.547	0.701	-0.088	0.000
0.700	-0.557	0.701	-0.088	0.000
0.700	-0.559	0.702	-0.085	0.000
0.700	-0.562	0.701	-0.088	0.000
0.700	-0.566	0.704	-0.082	0.000
0.700	-0.586	0.702	-0.085	0.000
0.700	-0.586	0.701	-0.088	0.000
0.700	-0.591	0.701	-0.088	0.000
0.700	-0.598	0.699	-0.462	0.000
0.700	-0.605	0.701	-0.088	0.000
0.700	-0.618	0.702	-0.085	0.000
0.700	-0.627	0.701	-0.088	0.000
0.700	-0.637	0.699	-0.462	0.000
0.700	-0.637	0.699	-0.462	0.000
0.700	-0.640	0.699	-0.462	0.000
0.700	-0.647	0.699	-0.462	0.000
0.700	-0.652	0.701	-0.088	0.000
0.700	-0.649	0.699	-0.462	0.000
0.700	-0.654	0.702	-0.085	0.000
0.700	-0.657	0.699	-0.462	0.000
0.700	-0.657	0.701	-0.088	0.000
0.700	-0.664	0.702	-0.085	0.000
0.700	-0.669	0.701	-0.088	0.000
0.700	-0.674	0.702	-0.085	0.000
0.700	-0.676	0.704	-0.082	0.000
0.700	-0.681	0.702	-0.085	0.000
0.700	-0.684	0.704	-0.082	0.000
0.700	-0.706	0.704	-0.082	0.000
0.700	-0.706	0.704	-0.082	0.000
0.700	-0.708	0.702	-0.085	0.000
0.700	-0.710	0.702	-0.085	0.000
0.700	-0.715	0.704	-0.082	0.000
0.700	-0.720	0.701	-0.088	0.000
0.700	-0.723	0.702	-0.085	0.000
0.700	-0.723	0.701	-0.088	0.000
0.700	-0.728	0.702	-0.085	0.000
0.700	-0.730	0.701	-0.088	0.000
0.700	-0.728	0.701	-0.088	0.000
0.700	-0.732	0.701	-0.088	0.000
0.700	-0.735	0.701	-0.088	0.000
0.700	-0.754	0.701	-0.088	0.000
0.700	-0.769	0.701	-0.088	0.000
0.700	-0.776	0.698	-0.465	0.000
0.700	-0.774	0.699	-0.462	0.000
0.700	-0.774	0.699	-0.462	0.000
0.700	-0.776	0.699	-0.462	0.000
0.700	-0.779	0.701	-0.088	0.000
0.700	-0.798	0.701	-0.088	0.000
0.700	-0.798	0.704	-0.082	0.000
0.700	-0.801	0.704	-0.082	0.000
0.700	-0.808	0.702	-0.085	0.000
0.700	-0.808	0.704	-0.082	0.000
0.700	-0.815	0.701	-0.088	0.000
0.700	-0.828	0.702	-0.085	0.000
0.700	-0.830	0.701	-0.088	0.000
0.700	-0.837	0.702	-0.085	0.000
0.700	-0.840	0.701	-0.088	0.000
0.700	-0.847	0.701	-0.088	0.000
0.700	-0.850	0.701	-0.088	0.000
0.700	-0.862	0.701	-0.088	0.000
0.700	-0.869	0.699	-0.462	0.000
0.700	-0.869	0.699	-0.462	0.000
0.700	-0.874	0.701	-0.088	0.000
0.700	-0.884	0.701	-0.088	0.000
0.700	-0.913	0.702	-0.085	0.000
0.700	-0.918	0.701	-0.088	0.000
0.700	-0.925	0.701	-0.088	0.000
0.700	-0.930	0.702	-0.085	0.000
0.700	-0.930	0.702	-0.085	0.000
0.700	-0.937	0.701	-0.088	0.000
0.700	-0.955	0.701	-0.088	0.000
0.700	-0.979	0.701	-0.088	0.000
0.700	-0.981	0.701	-0.088	0.000
0.700	-0.991	0.701	-0.088	0.000
0.700	-0.996	0.702	-0.085	0.000
0.700	-1.003	0.699	-0.462	0.000
0.700	-1.013	0.699	-0.462	0.000
0.700	-1.045	0.699	-0.462	0.000
0.700	-1.055	0.701	-0.088	0.000
0.700	-1.060	0.701	-0.088	0.000
0.700	-1.069	0.699	-0.462	0.000
0.700	-1.069	0.701	-0.088	0.000
0.700	-1.072	0.702	-0.085	0.000
0.700	-1.074	0.702	-0.085	0.000
0.700	-1.077	0.702	-0.085	0.000
0.700	-1.082	0.701	-0.088	0.000
0.700	-1.096	0.704	-0.082	0.000
0.700	-1.096	0.702	-0.085	0.000
0.700	-1.104	0.704	-0.082	0.000
0.700	-1.099	0.701	-0.088	0.000
0.700	-1.113	0.704	-0.082	0.000
0.700	-1.121	0.701	-0.088	0.000
0.700	-1.123	0.702	-0.085	0.000
0.700	-1.130	0.702	-0.085	0.000
0.700	-1.128	0.702	-0.085	0.000
0.700	-1.147	0.699	-0.462	0.000
0.700	-1.147	0.701	-0.088	0.000
0.700	-1.147	0.701	-0.088	0.000
0.700	-1.150	0.702	-0.085	0.000
0.700	-1.174	0.701	-0.088	0.000
0.700	-1.174	0.701	-0.088	0.000
0.700	-1.179	0.699	-0.462	0.000
0.700	-1.179	0.699	-0.462	0.000
0.700	-1.187	0.701	-0.088	0.000
0.700	-1.199	0.701	-0.088	0.000
0.700	-1.208	0.701	-0.088	0.000
0.700	-1.216	0.701	-0.088	0.000
0.700	-1.216	0.702	-0.085	0.000
0.700	-1.221	0.702	-0.085	0.000
0.700	-1.230	0.702	-0.085	0.000
0.700	-1.243	0.702	-0.085	0.000
0.700	-1.243	0.704	-0.082	0.000
0.700	-1.245	0.699	-0.462	0.000
0.700	-1.248	0.699	-0.462	0.000
0.700	-1.250	0.702	-0.085	0.000
0.700	-1.257	0.702	-0.085	0.000
0.700	-1.267	0.702	-0.085	0.000
0.700	-1.282	0.702	-0.085	0.000
0.700	-1.304	0.701	-0.088	0.000
0.700	-1.331	0.702	-0.085	0.000
0.700	-1.350	0.702	-0.085	0.000
0.700	-1.357	0.699	-0.462	0.000
0.700	-1.365	0.701	-0.088	0.000
0.700	-1.367	0.704	-0.082	0.000
0.700	-1.375	0.704	-0.082	0.000
0.700	-1.414	0.702	-0.085	0.000
0.700	-1.470	0.701	-0.088	0.000
0.700	-1.482	0.702	-0.085	0.000
0.700	-1.479	0.701	-0.088	0.000
0.700	-1.482	0.702	-0.085	0.000
0.700	-1.487	0.704	-0.082	0.000
0.700	-1.492	0.701	-0.088	0.000
0.700	-1.497	0.701	-0.088	0.000
0.700	-1.492	0.701	-0.088	0.000
0.700	-1.494	0.704	-0.082	0.000
0.700	-1.497	0.699	-0.462	0.000
0.700	-1.504	0.701	-0.088	0.000
0.700	-1.514	0.699	-0.462	0.000
0.700	-1.531	0.699	-0.462	0.000
0.700	-1.531	0.702	-0.085	0.000
0.700	-1.533	0.701	-0.088	0.000
0.700	-1.541	0.704	-0.082	0.000
0.700	-1.555	0.702	-0.085	0.000
0.700	-1.582	0.701	-0.088	0.000
0.700	-1.594	0.701	-0.088	0.000
0.700	-1.599	0.701	-0.088	0.000
0.700	-1.606	0.702	-0.085	0.000
0.700	-1.609	0.702	-0.085	0.000
0.700	-1.611	0.699	-0.462	0.000
0.700	-1.616	0.699	-0.462	0.000
0.700	-1.616	0.701	-0.088	0.000
0.700	-1.616	0.699	-0.462	0.000
0.700	-1.626	0.701	-0.088	0.000
0.700	-1.643	0.704	-0.082	0.000
0.700	-1.646	0.699	-0.462	0.000
0.700	-1.650	0.702	-0.085	0.000
0.700	-1.660	0.701	-0.088	0.000
0.700	-1.667	0.702	-0.085	0.000
0.700	-1.675	0.704	-0.082	0.000
0.700	-1.692	0.701	-0.088	0.000
0.700	-1.699	0.701	-0.088	0.000
0.700	-1.707	0.701	-0.088	0.000
0.700	-1.714	0.701	-0.088	0.000
0.700	-1.716	0.701	-0.088	0.000
0.700	-1.714	0.701	-0.088	0.000
0.700	-1.724	0.704	-0.082	0.000
0.700	-1.736	0.702	-0.085	0.000
0.700	-1.750	0.702	-0.085	0.000
0.700	-1.760	0.702	-0.085	0.000
0.700	-1.765	0.699	-0.462	0.000
0.700	-1.775	0.702	-0.085	0.000
0.700	-1.782	0.699	-0.462	0.000
0.700	-1.787	0.701	-0.088	0.000
0.700	-1.802	0.701	-0.088	0.000
0.700	-1.807	0.701	-0.088	0.000
0.700	-1.812	0.702	-0.085	0.000
0.700	-1.824	0.701	-0.088	0.000
0.700	-1.829	0.701	-0.088	0.000
0.700	-1.833	0.704	-0.082	0.000
0.700	-1.836	0.704	-0.082	0.000
0.700	-1.841	0.701	-0.088	0.000
0.700	-1.875	0.701	-0.088	0.000
0.700	-1.899	0.701	-0.088	0.000
0.700	-1.912	0.704	-0.082	0.000
0.700	-1.929	0.701	-0.088	0.000
0.700	-1.941	0.702	-0.085	0.000
0.700	-1.968	0.702	-0.085	0.000
0.700	-2.058	0.704	-0.082	0.000
0.700	-2.061	0.699	-0.462	0.000
0.700	-2.063	0.702	-0.085	0.000
0.700	-2.065	0.702	-0.085	0.000
0.700	-2.085	0.701	-0.088	0.000
0.700	-2.087	0.702	-0.085	0.000
0.700	-2.095	0.701	-0.088	0.000
