ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.348	0.537	-0.298	0.000
0.700	4.348	0.537	-0.298	0.000
0.700	4.346	0.538	-0.296	0.000
0.700	4.346	0.538	-0.296	0.000
0.700	4.351	0.540	-0.295	0.000
0.700	4.346	0.542	-0.291	0.000
0.700	4.346	0.542	-0.291	0.000
0.700	4.351	0.542	-0.291	0.000
0.700	4.346	0.545	-0.288	0.000
0.700	4.348	0.545	-0.288	0.000
0.700	4.348	0.548	-0.284	0.000
0.700	4.346	0.548	-0.284	0.000
0.700	4.351	0.548	-0.284	0.000
0.700	4.348	0.548	-0.284	0.000
0.700	4.351	0.550	-0.282	0.000
0.700	4.348	0.554	-0.277	0.000
0.700	4.348	0.551	-0.281	0.000
0.700	4.348	0.553	-0.279	0.000
0.700	4.351	0.556	-0.275	0.000
0.700	4.348	0.556	-0.275	0.000
0.700	4.346	0.556	-0.275	0.000
0.700	4.351	0.559	-0.272	0.000
0.700	4.348	0.560	-0.270	0.000
0.700	4.346	0.560	-0.270	0.000
0.700	4.348	0.562	-0.268	0.000
0.700	4.348	0.565	-0.265	0.000
0.700	4.348	0.562	-0.268	0.000
0.700	4.346	0.565	-0.265	0.000
0.700	4.348	0.565	-0.265	0.000
0.700	4.351	0.566	-0.263	0.000
0.700	4.351	0.568	-0.262	0.000
0.700	4.351	0.568	-0.262	0.000
0.700	4.346	0.571	-0.258	0.000
0.700	4.346	0.568	-0.262	0.000
0.700	4.348	0.571	-0.258	0.000
0.700	4.346	0.571	-0.258	0.000
0.700	4.348	0.572	-0.256	0.000
0.700	4.346	0.574	-0.255	0.000
0.700	4.346	0.575	-0.253	0.000
0.700	4.346	0.576	-0.251	0.000
0.700	4.346	0.575	-0.253	0.000
0.700	4.346	0.578	-0.249	0.000
0.700	4.348	0.578	-0.249	0.000
0.700	4.348	0.579	-0.248	0.000
0.700	4.346	0.578	-0.249	0.000
0.700	4.346	0.581	-0.246	0.000
0.700	4.346	0.581	-0.246	0.000
0.700	4.346	0.582	-0.244	0.000
0.700	4.346	0.581	-0.246	0.000
0.700	4.346	0.584	-0.242	0.000
0.700	4.351	0.585	-0.241	0.000
0.700	4.348	0.585	-0.241	0.000
0.700	4.346	0.588	-0.237	0.000
0.700	4.348	0.587	-0.239	0.000
0.700	4.346	0.588	-0.237	0.000
0.700	4.346	0.588	-0.237	0.000
0.700	4.346	0.591	-0.234	0.000
0.700	4.346	0.590	-0.235	0.000
0.700	4.346	0.590	-0.235	0.000
0.700	4.346	0.591	-0.234	0.000
0.700	4.346	0.591	-0.234	0.000
0.700	4.346	0.593	-0.232	0.000
0.700	4.348	0.591	-0.234	0.000
0.700	4.346	0.593	-0.232	0.000
0.700	4.338	0.596	-0.229	0.000
0.700	4.343	0.597	-0.227	0.000
0.700	4.343	0.597	-0.227	0.000
0.700	4.346	0.597	-0.227	0.000
0.700	4.346	0.597	-0.227	0.000
0.700	4.346	0.600	-0.223	0.000
0.700	4.351	0.600	-0.223	0.000
0.700	4.346	0.602	-0.222	0.000
0.700	4.346	0.600	-0.223	0.000
0.700	4.346	0.600	-0.223	0.000
0.700	4.346	0.603	-0.220	0.000
0.700	4.346	0.603	-0.220	0.000
0.700	4.343	0.603	-0.220	0.000
0.700	4.343	0.603	-0.220	0.000
0.700	4.343	0.606	-0.216	0.000
0.700	4.348	0.606	-0.216	0.000
0.700	4.346	0.606	-0.216	0.000
0.700	4.346	0.608	-0.215	0.000
0.700	4.346	0.608	-0.215	0.000
0.700	4.346	0.609	-0.213	0.000
0.700	4.341	0.609	-0.213	0.000
0.700	4.346	0.610	-0.211	0.000
0.700	4.343	0.609	-0.213	0.000
0.700	4.346	0.610	-0.211	0.000
0.700	4.341	0.610	-0.211	0.000
0.700	4.341	0.610	-0.211	0.000
0.700	4.346	0.612	-0.209	0.000
0.700	4.341	0.610	-0.211	0.000
0.700	4.341	0.612	-0.209	0.000
0.700	4.346	0.612	-0.209	0.000
0.700	4.346	0.613	-0.208	0.000
0.700	4.346	0.613	-0.208	0.000
0.700	4.343	0.615	-0.206	0.000
0.700	4.343	0.616	-0.204	0.000
0.700	4.346	0.616	-0.204	0.000
0.700	4.346	0.616	-0.204	0.000
0.700	4.343	0.615	-0.206	0.000
0.700	4.343	0.618	-0.202	0.000
0.700	4.343	0.616	-0.204	0.000
0.700	4.341	0.619	-0.201	0.000
0.700	4.341	0.621	-0.199	0.000
0.700	4.343	0.621	-0.199	0.000
0.700	4.343	0.621	-0.199	0.000
0.700	4.346	0.621	-0.199	0.000
0.700	4.348	0.621	-0.199	0.000
0.700	4.343	0.622	-0.197	0.000
0.700	4.346	0.622	-0.197	0.000
0.700	4.341	0.622	-0.197	0.000
0.700	4.343	0.624	-0.196	0.000
0.700	4.338	0.625	-0.194	0.000
0.700	4.341	0.625	-0.194	0.000
0.700	4.343	0.625	-0.194	0.000
0.700	4.341	0.625	-0.194	0.000
0.700	4.343	0.627	-0.192	0.000
0.700	4.341	0.628	-0.190	0.000
0.700	4.341	0.624	-0.196	0.000
0.700	4.341	0.630	-0.189	0.000
0.700	4.341	0.627	-0.192	0.000
0.700	4.343	0.630	-0.189	0.000
0.700	4.343	0.630	-0.189	0.000
0.700	4.338	0.630	-0.189	0.000
0.700	4.341	0.631	-0.187	0.000
0.700	4.346	0.630	-0.189	0.000
0.700	4.343	0.633	-0.185	0.000
0.700	4.341	0.633	-0.185	0.000
0.700	4.343	0.633	-0.185	0.000
0.700	4.343	0.634	-0.183	0.000
0.700	4.341	0.634	-0.183	0.000
0.700	4.343	0.634	-0.183	0.000
0.700	4.341	0.637	-0.180	0.000
0.700	4.341	0.636	-0.182	0.000
0.700	4.341	0.637	-0.180	0.000
0.700	4.343	0.637	-0.180	0.000
0.700	4.338	0.637	-0.180	0.000
0.700	4.343	0.637	-0.180	0.000
0.700	4.341	0.639	-0.178	0.000
0.700	4.338	0.639	-0.178	0.000
0.700	4.343	0.640	-0.176	0.000
0.700	4.338	0.640	-0.176	0.000
0.700	4.338	0.640	-0.176	0.000
0.700	4.343	0.642	-0.175	0.000
0.700	4.341	0.642	-0.175	0.000
0.700	4.341	0.642	-0.175	0.000
0.700	4.343	0.642	-0.175	0.000
0.700	4.338	0.644	-0.171	0.000
0.700	4.341	0.643	-0.173	0.000
0.700	4.338	0.643	-0.173	0.000
0.700	4.341	0.644	-0.171	0.000
0.700	4.343	0.646	-0.169	0.000
